Date,ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020/10/16,l862632,14924 Yonge St 521,Yonge St,Aurora Highlands,Aurora,"$529,900",1 baths,1+1 beds,https://aurora.listing.ca/14924-yonge-st-521.N4928159.htm#9h-34
2020/10/16,l862550,555 William Graham Dr 334,William Graham Dr,Rural Aurora,Aurora,"$589,900",1 baths,1+1 beds,https://aurora.listing.ca/555-william-graham-dr-334.N4928201.htm#9h-35
2020/10/16,l862466,23 Hadley Crt,Hadley Crt,Bayview Wellington,Aurora,"$1,168,000",4 baths,4 beds,https://aurora.listing.ca/23-hadley-crt.N4927664.htm#9h-36
2020/10/16,l862278,151 Lewis Honey Dr,Lewis Honey Dr,Bayview Northeast,Aurora,"$698,000",3 baths,3 beds,https://aurora.listing.ca/151-lewis-honey-dr.N4927553.htm#9h-37
2020/10/16,l861517,122 Collis Dr,Collis Dr,Bayview Northeast,Aurora,"$980,000",4 baths,3 beds,https://aurora.listing.ca/122-collis-dr.N4926087.htm#9h-38
2020/10/16,l861361,346 Elyse Crt,Elyse Crt,Bayview Northeast,Aurora,"$1,059,990",4 baths,4 beds,https://aurora.listing.ca/346-elyse-crt.N4926338.htm#9h-39
2020/10/16,l861356,675 St Johns Sdrd,St Johns Sdrd,Hills of St Andrew,Aurora,"$1,888,800",4 baths,4+1 beds,https://aurora.listing.ca/675-st-johns-sdrd.N4926045.htm#9h-3a
2020/10/16,l861227,313 Milestone Cres,Milestone Cres,Aurora Village,Aurora,"$599,000",3 baths,3+1 beds,https://aurora.listing.ca/313-milestone-cres.N4926389.htm#9h-3b
2020/10/16,l861226,15277 Yonge St 711,Yonge St,Aurora Village,Aurora,"$629,000",1 baths,1 beds,https://aurora.listing.ca/15277-yonge-st-711.N4926313.htm#9h-3c
2020/10/16,l860599,376 Kennedy St,Kennedy St,Aurora Highlands,Aurora,"$1,988,000",5 baths,4+2 beds,https://aurora.listing.ca/376-kennedy-st.N4925390.htm#9h-3d
2020/10/16,l860588,204 Mavrinac Blvd,Mavrinac Blvd,Bayview Northeast,Aurora,"$999,000",3 baths,4 beds,https://aurora.listing.ca/204-mavrinac-blvd.N4925211.htm#9h-3e
2020/10/16,l860580,19 Hodgkinson Cres,Hodgkinson Cres,Hills of St Andrew,Aurora,"$2,850,000",4 baths,4 beds,https://aurora.listing.ca/19-hodgkinson-cres.N4925102.htm#9h-3f
2020/10/16,l859169,20 Bigwin Dr,Bigwin Dr,Aurora Heights,Aurora,"$874,900",2 baths,3+3 beds,https://aurora.listing.ca/20-bigwin-dr.N4923478.htm#9h-3g
2020/10/16,l858976,111 Civic Square Gate 603,Civic Square Gate,Bayview Wellington,Aurora,"$1,099,000",3 baths,2+1 beds,https://aurora.listing.ca/111-civic-square-gate-603.N4923539.htm#9h-3h
2020/10/16,l857811,32 Foreht Cres,Foreht Cres,Aurora Heights,Aurora,"$850,000",2 baths,3+3 beds,https://aurora.listing.ca/32-foreht-cres.N4921980.htm#9h-3i
2020/10/16,l857800,82 Centre St,Centre St,Aurora Village,Aurora,"$1,199,900",3 baths,3+1 beds,https://aurora.listing.ca/82-centre-st.N4921794.htm#9h-3j
2020/10/16,l857795,8 Dodie St,Dodie St,Aurora Village,Aurora,"$2,750,000",5 baths,4+1 beds,https://aurora.listing.ca/8-dodie-st.N4921728.htm#9h-3k
2020/10/16,l857775,74 Lensmith Dr,Lensmith Dr,Aurora Highlands,Aurora,"$1,649,000",6 baths,4+1 beds,https://aurora.listing.ca/74-lensmith-dr.N4921455.htm#9h-3l
2020/10/16,l857222,53 Nisbet Dr,Nisbet Dr,Aurora Highlands,Aurora,"$924,900",4 baths,3 beds,https://aurora.listing.ca/53-nisbet-dr.N4921104.htm#9h-3m
2020/10/16,l857207,11 Kennedy St,Kennedy St,Aurora Village,Aurora,"$1,339,900",5 baths,4 beds,https://aurora.listing.ca/11-kennedy-st.N4921005.htm#9h-3n
2020/10/16,l857200,18 Botelho Circ,Botelho Circ,Bayview Southeast,Aurora,"$1,758,000",4 baths,4 beds,https://aurora.listing.ca/18-botelho-circ.N4920918.htm#9h-3o
2020/10/16,l856344,26 Botelho Circ,Botelho Circ,Aurora Village,Aurora,"$2,150,000",5 baths,5 beds,https://aurora.listing.ca/26-botelho-circ.N4920119.htm#9h-3p
2020/10/16,l856341,35 Radial Dr,Radial Dr,Bayview Northeast,Aurora,"$939,000",3 baths,3 beds,https://aurora.listing.ca/35-radial-dr.N4920035.htm#9h-3q
2020/10/16,l856266,101 Sandlewood Crt,Sandlewood Crt,Bayview Wellington,Aurora,"$745,000",3 baths,3 beds,https://aurora.listing.ca/101-sandlewood-crt.N4920104.htm#9h-3r
2020/10/16,l855561,4 Child Dr,Child Dr,Aurora Highlands,Aurora,"$1,549,000",4 baths,4+1 beds,https://aurora.listing.ca/4-child-dr.N4919348.htm#9h-3s
2020/10/16,l854928,37 Harrison Ave,Harrison Ave,Aurora Village,Aurora,"$1,748,000",5 baths,4+1 beds,https://aurora.listing.ca/37-harrison-ave.N4918042.htm#9h-3t
2020/10/16,l854728,555 William Graham Dr 309,William Graham Dr,Rural Aurora,Aurora,"$655,000",2 baths,2 beds,https://aurora.listing.ca/555-william-graham-dr-309.N4918040.htm#9h-3u
2020/10/16,l853988,156 Radial Dr,Radial Dr,Rural Aurora,Aurora,"$918,990",3 baths,3 beds,https://aurora.listing.ca/156-radial-dr.N4917077.htm#9h-3v
2020/10/16,l853972,6 Mckee Crt,Mckee Crt,Rural Aurora,Aurora,"$1,390,000",5 baths,4+1 beds,https://aurora.listing.ca/6-mckee-crt.N4916959.htm#9h-3w
