ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l878813,23 Oneida Cres 310,Oneida Cres,Langstaff,Richmond Hill,$528000,2 baths,2 beds,https://richmond-hill.listing.ca/23-oneida-cres-310.N4947523.htm#1-3j
2020-10-17,l878611,63 Fitzwilliam Ave,Fitzwilliam Ave,Oak Ridges Lake Wilcox,Richmond Hill,$1090000,4 baths,3+1 beds,https://richmond-hill.listing.ca/63-fitzwilliam-ave.N4947325.htm#1-3k
2020-10-17,l878586,51 Baffin Crt 523,Baffin Crt,Langstaff,Richmond Hill,$449980,2 baths,1+1 beds,https://richmond-hill.listing.ca/51-baffin-crt-523.N4947320.htm#1-3l
2020-10-17,l878585,9090 Yonge St 1011B,Yonge St,South Richvale,Richmond Hill,$568900,1 baths,1+1 beds,https://richmond-hill.listing.ca/9090-yonge-st-1011b.N4947315.htm#1-3m
2020-10-17,l878501,90 Regent St,Regent St,Mill Pond,Richmond Hill,$2090000,5 baths,5 beds,https://richmond-hill.listing.ca/90-regent-st.N4947234.htm#1-3n
2020-10-17,l878480,448 Easy St,Easy St,Mill Pond,Richmond Hill,$1799000,4 baths,4+1 beds,https://richmond-hill.listing.ca/448-easy-st.N4947270.htm#1-3o
2020-10-17,l878457,23 Oneida Cres 902,Oneida Cres,Langstaff,Richmond Hill,$555000,1 baths,2 beds,https://richmond-hill.listing.ca/23-oneida-cres-902.N4947135.htm#1-3p
2020-10-17,l878391,65 Oneida Cres 1101,Oneida Cres,Langstaff,Richmond Hill,$539800,1 baths,1+1 beds,https://richmond-hill.listing.ca/65-oneida-cres-1101.N4947260.htm#1-3q
2020-10-17,l878196,18 Denham Dr,Denham Dr,South Richvale,Richmond Hill,$6900000,8 baths,5+1 beds,https://richmond-hill.listing.ca/18-denham-dr.N4946974.htm#1-3r
2020-10-17,l878193,50 Brookside Rd,Brookside Rd,Westbrook,Richmond Hill,$1699900,5 baths,5 beds,https://richmond-hill.listing.ca/50-brookside-rd.N4946931.htm#1-3s
2020-10-17,l878186,5 Trilogy Crt,Trilogy Crt,South Richvale,Richmond Hill,$2448000,6 baths,3+1 beds,https://richmond-hill.listing.ca/5-trilogy-crt.N4946903.htm#1-3t
