ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l886497,55 Ann O'reilly Rd 1606,Ann O'reilly Rd,Henry Farm,Toronto,$538800,1 baths,1+1 beds,https://toronto.listing.ca/55-ann-oreilly-rd-1606.C4957268.htm#15-35
2020-10-17,l886494,386 Yonge St 5416,Yonge St,Bay Street Corridor,Toronto,$998880,2 baths,2+1 beds,https://toronto.listing.ca/386-yonge-st-5416.C4957245.htm#15-36
2020-10-17,l886492,14 York St 2010,York St,Waterfront Communities C1,Toronto,$539000,1 baths,1 beds,https://toronto.listing.ca/14-york-st-2010.C4957231.htm#15-37
2020-10-17,l886487,298 Jarvis St 806,Jarvis St,Church-Yonge Corridor,Toronto,$785000,2 baths,2+1 beds,https://toronto.listing.ca/298-jarvis-st-806.C4957212.htm#15-38
2020-10-17,l886486,6 Jackes Ave 804,Jackes Ave,Rosedale-Moore Park,Toronto,$2300000,3 baths,2+1 beds,https://toronto.listing.ca/6-jackes-ave-804.C4957207.htm#15-39
2020-10-17,l886483,268 Ridley Blvd 1712,Ridley Blvd,Bedford Park-Nortown,Toronto,$919900,2 baths,2 beds,https://toronto.listing.ca/268-ridley-blvd-1712.C4957190.htm#15-3a
2020-10-17,l886481,222 The Esplanade St 1114,The Esplanade St,Waterfront Communities C8,Toronto,$429900,1 baths,1+1 beds,https://toronto.listing.ca/222-the-esplanade-st-1114.C4957184.htm#15-3b
2020-10-17,l886477,3 Navy Wharf Crt 2702,Navy Wharf Crt,Waterfront Communities C1,Toronto,$939000,2 baths,2+1 beds,https://toronto.listing.ca/3-navy-wharf-crt-2702.C4957178.htm#15-3c
2020-10-17,l886469,94 Beverley St,Beverley St,Kensington-Chinatown,Toronto,$799000,1 baths,2 beds,https://toronto.listing.ca/94-beverley-st.C4957134.htm#15-3d
2020-10-17,l886465,158 Crescent Rd 412,Crescent Rd,Rosedale-Moore Park,Toronto,$749900,1 baths,2 beds,https://toronto.listing.ca/158-crescent-rd-412.C4957118.htm#15-3e
2020-10-17,l886463,9 Greenbriar Rd 105,Greenbriar Rd,Bayview Village,Toronto,$669000,2 baths,2 beds,https://toronto.listing.ca/9-greenbriar-rd-105.C4957114.htm#15-3f
2020-10-17,l886454,629 King St 611,King St,Waterfront Communities C1,Toronto,$499000,1 baths,1 beds,https://toronto.listing.ca/629-king-st-611.C4957082.htm#15-3g
2020-10-17,l886450,832 Bay St 1905,Bay St,Bay Street Corridor,Toronto,$1080000,2 baths,2+1 beds,https://toronto.listing.ca/832-bay-st-1905.C4957054.htm#15-3h
2020-10-17,l886448,3 Market St 209,Market St,Waterfront Communities C8,Toronto,$554900,1 baths,1 beds,https://toronto.listing.ca/3-market-st-209.C4957046.htm#15-3i
2020-10-17,l886437,18 Stafford St 313,Stafford St,Niagara,Toronto,$629000,1 baths,1 beds,https://toronto.listing.ca/18-stafford-st-313.C4956968.htm#15-3j
2020-10-17,l886435,7 Grenville St 6208,Grenville St,Bay Street Corridor,Toronto,$1565000,3 baths,2+1 beds,https://toronto.listing.ca/7-grenville-st-6208.C4956965.htm#15-3k
2020-10-17,l886433,10 Queens Quay 2113,Queens Quay,Waterfront Communities C1,Toronto,$879000,2 baths,1+1 beds,https://toronto.listing.ca/10-queens-quay-2113.C4956960.htm#15-3l
2020-10-17,l886432,264 Seaton St 100,Seaton St,Moss Park,Toronto,$649000,1 baths,2 beds,https://toronto.listing.ca/264-seaton-st-100.C4956959.htm#15-3m
2020-10-17,l886429,38 Niagara St 809,Niagara St,Niagara,Toronto,$689000,2 baths,1+1 beds,https://toronto.listing.ca/38-niagara-st-809.C4956944.htm#15-3n
2020-10-17,l886419,90 Stadium Rd 606,Stadium Rd,Niagara,Toronto,$839000,2 baths,2 beds,https://toronto.listing.ca/90-stadium-rd-606.C4956912.htm#15-3o
2020-10-17,l886417,256 Doris Ave 611,Doris Ave,Willowdale East,Toronto,$488800,1 baths,1 beds,https://toronto.listing.ca/256-doris-ave-611.C4956903.htm#15-3p
2020-10-17,l886416,25 Lower Simcoe St 1207,Lower Simcoe St,Waterfront Communities C1,Toronto,$899900,2 baths,2+1 beds,https://toronto.listing.ca/25-lower-simcoe-st-1207.C4956902.htm#15-3q
2020-10-17,l886414,10 Torresdale Ave 1907,Torresdale Ave,Westminster-Branson,Toronto,$1498800,3 baths,3 beds,https://toronto.listing.ca/10-torresdale-ave-1907.C4956897.htm#15-3r
2020-10-17,l886412,60 Berwick Ave 911,Berwick Ave,Yonge-Eglinton,Toronto,$888888,2 baths,2 beds,https://toronto.listing.ca/60-berwick-ave-911.C4956891.htm#15-3s
2020-10-17,l886407,130 Carlton St 1505,Carlton St,Cabbagetown-South St. James Town,Toronto,$1800000,2 baths,2+2 beds,https://toronto.listing.ca/130-carlton-st-1505.C4956866.htm#15-3t
2020-10-17,l886406,25 Cole St 527,Cole St,Regent Park,Toronto,$759000,2 baths,2+1 beds,https://toronto.listing.ca/25-cole-st-527.C4956865.htm#15-3u
2020-10-17,l886402,780 Sheppard Ave Th11,Sheppard Ave,Bayview Village,Toronto,$788000,2 baths,2+1 beds,https://toronto.listing.ca/780-sheppard-ave-th11.C4956846.htm#15-3v
2020-10-17,l886401,301 Markham St Ph 611,Markham St,Trinity-Bellwoods,Toronto,$999999,2 baths,2+1 beds,https://toronto.listing.ca/301-markham-st-ph-611.C4956845.htm#15-3w
2020-10-17,l886394,55 Ann O'reilly Rd 309,Ann O'reilly Rd,Henry Farm,Toronto,$499900,2 baths,1+1 beds,https://toronto.listing.ca/55-ann-oreilly-rd-309.C4956822.htm#15-3x
2020-10-17,l886391,215 Fort York Blvd 1705,Fort York Blvd,Waterfront Communities C1,Toronto,$758800,1 baths,2 beds,https://toronto.listing.ca/215-fort-york-blvd-1705.C4956811.htm#15-3y
2020-10-17,l886387,88 Sheppard Ave Th4,Sheppard Ave,Willowdale East,Toronto,$1138000,3 baths,3+1 beds,https://toronto.listing.ca/88-sheppard-ave-th4.C4956798.htm#15-3z
2020-10-17,l886385,275 Yorkland Rd 1902,Yorkland Rd,Henry Farm,Toronto,$499000,1 baths,1+1 beds,https://toronto.listing.ca/275-yorkland-rd-1902.C4956792.htm#15-40
